"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.332676042E0,-1.316382198E-1,7.118572828E-1,-5.092807889E-1
3.342675042E0,1.007198976E-1,7.742581835E-1,8.129968643E-3
3.352674042E0,1.052675696E-1,7.607283112E-1,4.122544312E-1
3.362673042E0,-4.425333604E-2,7.337580290E-1,7.221749872E-1
3.372672042E0,-1.108010821E-1,6.523811594E-1,8.780167329E-1
3.382671042E0,-4.320763461E-2,5.525417063E-1,9.445714957E-1
3.392670042E0,8.261706412E-2,5.283351105E-1,1.046884321E0
3.402669042E0,1.275749166E-1,6.142710543E-1,1.237466129E0
3.412668042E0,-1.256300595E-1,8.648710227E-1,1.573410888E0
3.422667042E0,-3.560272401E-1,1.134498708E0,1.855265393E0
3.432666042E0,-3.153455295E-1,1.241688696E0,1.783185596E0
3.442665042E0,-7.678819411E-2,1.326560446E0,1.584372663E0
3.452664042E0,2.010527095E-1,1.542641377E0,1.458328913E0
3.462663042E0,5.244426191E-1,1.622260281E0,1.410795727E0
3.472662042E0,6.847086605E-1,1.401412993E0,1.544589962E0
3.482661042E0,7.086848760E-1,9.387587786E-1,2.064128521E0
3.492660042E0,7.210615312E-1,3.182692105E-1,2.920099497E0
3.502659042E0,5.861298671E-1,-2.325387964E-1,4.130915186E0
3.512658042E0,6.706939079E-2,-6.334519681E-1,5.322636209E0
3.522657042E0,-4.846639379E-1,-9.969432521E-1,5.668932293E0
3.532656042E0,-3.247530417E-1,-1.487884249E0,5.382942052E0
3.542655042E0,-3.307747968E-1,-1.259242622E0,4.358225695E0
3.552654042E0,-2.082274259E-1,-8.651847258E-1,2.723021432E0
3.562653042E0,3.431202059E-1,-7.022467992E-1,1.142986819E0
3.572652042E0,1.025138818E0,-5.666220939E-1,2.269362867E-2
3.582651042E0,1.438479516E0,-5.480340877E-1,-8.641506457E-1
3.592650042E0,1.543609091E0,-7.777293831E-1,-1.461523247E0
3.602649042E0,1.376909797E0,-1.049697709E0,-1.504227802E0
3.612648042E0,1.132674815E0,-1.319532385E0,-1.078002033E0
3.622647042E0,9.351763357E-1,-1.575553015E0,-7.427636182E-1
3.632646042E0,7.655232473E-1,-1.661609119E0,-5.084300190E-1
3.642645042E0,4.878498664E-1,-1.566997077E0,-2.241226065E-1
3.652644042E0,2.172231479E-1,-1.446021693E0,-1.192481160E-1
3.662643042E0,6.469819866E-2,-1.347606622E0,-3.393577784E-1
3.672642042E0,6.414176300E-2,-1.175630946E0,-9.621160662E-1
